OriginLat,OriginLon,DestinationLat,DestinationLon
33.94216754999999,-118.42139298414197,39.2208967,-106.86697301509874
33.94216754999999,-118.42139298414197,32.89651945,-97.0465220537124
33.94216754999999,-118.42139298414197,39.6425635,-106.917134720113
33.94216754999999,-118.42139298414197,39.7162533,-86.29508388539975
33.94216754999999,-118.42139298414197,19.743906,-156.0422959812206
33.94216754999999,-118.42139298414197,28.412903550000003,-81.30944309752753
33.94216754999999,-118.42139298414197,25.7949789,-80.28672341095405
33.94216754999999,-118.42139298414197,40.49178275,-80.23702448873742
33.94216754999999,-118.42139298414197,35.237491399999996,-120.64331992943252
33.66525745,-101.82668866739934,39.8606676,-104.68536732610298
33.66525745,-101.82668866739934,29.9841416,-95.33298595614491
30.2072293,-93.2061609,29.9841416,-95.33298595614491
40.7757145,-73.87336398511545,33.563500000000005,-86.75151249023227
40.7757145,-73.87336398511545,36.11958985,-86.68308703291842
40.7757145,-73.87336398511545,38.029306,-78.4766781
40.7757145,-73.87336398511545,39.1014537,-84.5124602
40.7757145,-73.87336398511545,41.534549299999995,-93.65923944589736
40.7757145,-73.87336398511545,35.9824519,-79.9741745
40.7757145,-73.87336398511545,36.8946697,-76.20229629965002
40.7757145,-73.87336398511545,43.6610277,-70.2548596
40.7757145,-73.87336398511545,26.53294975,-81.75880562612211
40.7757145,-73.87336398511545,38.1716962,-85.73540756381095
33.815565899999996,-118.15342922166721,30.19348925,-97.66500963529677
33.815565899999996,-118.15342922166721,40.642947899999996,-73.7793733748521
33.815565899999996,-118.15342922166721,40.790066100000004,-111.97989846185591
21.97206585,-159.33671538390365,39.8606676,-104.68536732610298
34.7311092,-92.22457817801748,35.04625645,-89.97689466513185
42.156436549999995,-121.7327761549667,45.58902115,-122.5935717503766
27.547214750000002,-99.46147398713819,29.9841416,-95.33298595614491
31.9370282,-102.4154247,39.8606676,-104.68536732610298
39.3023103,-94.72118991743454,41.406618550000005,-81.85120214358412
39.3023103,-94.72118991743454,39.1014537,-84.5124602
39.3023103,-94.72118991743454,32.84524055,-96.84732187569065
39.3023103,-94.72118991743454,39.8606676,-104.68536732610298
39.3023103,-94.72118991743454,29.9841416,-95.33298595614491
39.3023103,-94.72118991743454,42.9461717,-87.9138891
39.3023103,-94.72118991743454,37.7120907,-122.21450262406256
39.3023103,-94.72118991743454,45.58902115,-122.5935717503766
39.3023103,-94.72118991743454,37.622451999999996,-122.38398938548363
39.3023103,-94.72118991743454,40.790066100000004,-111.97989846185591
39.3023103,-94.72118991743454,27.9791649,-82.5349276153517
28.412903550000003,-81.30944309752753,39.19764875,-76.68258351960611
28.412903550000003,-81.30944309752753,38.8168307,-92.2198931
28.412903550000003,-81.30944309752753,39.905318699999995,-84.22024542480268
28.412903550000003,-81.30944309752753,42.9607553,-83.74563177999201
28.412903550000003,-81.30944309752753,34.8954456,-82.21722845651891
28.412903550000003,-81.30944309752753,39.6796715,-75.60763354194484
28.412903550000003,-81.30944309752753,35.04625645,-89.97689466513185
28.412903550000003,-81.30944309752753,42.93066555,-71.43882646608829
28.412903550000003,-81.30944309752753,40.49178275,-80.23702448873742
28.412903550000003,-81.30944309752753,41.8239891,-71.4128343
28.412903550000003,-81.30944309752753,37.622451999999996,-122.38398938548363
28.412903550000003,-81.30944309752753,40.276411949999996,-74.81321108368704
40.193209800000005,-76.75294587287746,42.205699100000004,-83.35297537621658
40.193209800000005,-76.75294587287746,40.7757145,-73.87336398511545
41.7854316,-87.75084869357148,42.748015949999996,-73.79855563763934
41.7854316,-87.75084869357148,40.9152061,-81.43992419328089
41.7854316,-87.75084869357148,34.8954456,-82.21722845651891
41.7854316,-87.75084869357148,34.7311092,-92.22457817801748
41.7854316,-87.75084869357148,35.04625645,-89.97689466513185
41.7854316,-87.75084869357148,35.3848053,-97.60534425082406
41.7854316,-87.75084869357148,36.8946697,-76.20229629965002
41.7854316,-87.75084869357148,45.58902115,-122.5935717503766
41.7854316,-87.75084869357148,41.8239891,-71.4128343
41.7854316,-87.75084869357148,27.9791649,-82.5349276153517
35.04625645,-89.97689466513185,33.563500000000005,-86.75151249023227
35.04625645,-89.97689466513185,40.68906405,-74.17725485035348
35.04625645,-89.97689466513185,28.412903550000003,-81.30944309752753
32.29656065,-86.39039567484974,33.63779875,-84.42927118585675
42.93066555,-71.43882646608829,40.7757145,-73.87336398511545
42.93066555,-71.43882646608829,28.412903550000003,-81.30944309752753
42.93066555,-71.43882646608829,39.875018,-75.23521278969667
25.7949789,-80.28672341095405,36.11958985,-86.68308703291842
25.7949789,-80.28672341095405,32.89929845,-80.03946503050427
25.7949789,-80.28672341095405,42.205699100000004,-83.35297537621658
25.7949789,-80.28672341095405,38.74962725,-90.37047024952082
25.7949789,-80.28672341095405,30.39782605,-84.35908394368526
25.7949789,-80.28672341095405,27.9791649,-82.5349276153517
42.9461717,-87.9138891,44.25659495,-88.52169598755702
42.9461717,-87.9138891,39.8606676,-104.68536732610298
42.9461717,-87.9138891,26.072017000000002,-80.15099673135214
41.44772135,-90.51146650735623,42.205699100000004,-83.35297537621658
41.44772135,-90.51146650735623,44.878019050000006,-93.2209280537696
30.69214065,-88.24115749066226,33.63779875,-84.42927118585675
30.69214065,-88.24115749066226,30.40711375,-89.07143302103171
48.25794645,-101.27700504346882,44.878019050000006,-93.2209280537696
36.58705795,-121.84193978436595,33.43289075,-112.00942230268426
36.58705795,-121.84193978436595,37.622451999999996,-122.38398938548363
44.878019050000006,-93.2209280537696,44.25659495,-88.52169598755702
44.878019050000006,-93.2209280537696,43.55988165,-116.20782253098173
44.878019050000006,-93.2209280537696,42.3554334,-71.060511
44.878019050000006,-93.2209280537696,39.19764875,-76.68258351960611
44.878019050000006,-93.2209280537696,42.205699100000004,-83.35297537621658
44.878019050000006,-93.2209280537696,47.620044050000004,-117.54236665513882
44.878019050000006,-93.2209280537696,48.1465457,-103.621814
44.878019050000006,-93.2209280537696,43.6087926,-110.73803248494762
44.878019050000006,-93.2209280537696,40.84731465,-96.75744255958236
44.878019050000006,-93.2209280537696,48.25794645,-101.27700504346882
44.878019050000006,-93.2209280537696,40.6652029,-89.69682574521849
44.878019050000006,-93.2209280537696,41.8239891,-71.4128343
44.878019050000006,-93.2209280537696,29.5334021,-98.46921443046924
44.878019050000006,-93.2209280537696,37.3633278,-121.92933857603218
44.878019050000006,-93.2209280537696,40.790066100000004,-111.97989846185591
